#,competition_id,team_id
1,2105,414
2,2105,437
3,2105,419
4,2105,2107
5,2105,2109
6,2105,2110
7,445,446
8,445,481
9,1319,2115
10,1319,1327
11,1319,1320
12,1319,2117
13,1319,2119
14,1319,1332
15,1088,1102
16,1088,2121
17,1319,2123
18,1319,1323
19,1067,1093
20,1067,2127
21,1212,1215
22,1212,2134
23,1244,2137
24,1244,2138
25,1212,2140
26,1212,1218
27,1153,2162
28,1153,1165
29,1153,1163
30,1153,1166
31,1195,2172
32,1195,1201
33,1088,1079
34,1088,1867
35,1088,2180
36,1088,2189
37,1088,1075
38,1088,2195
39,1088,2196
40,896,888
41,896,2214
42,896,899
43,896,903
44,1067,1078
45,1067,1084
46,1244,1259
47,1244,1251
48,791,812
49,791,797
50,1136,1146
51,1136,1139
52,998,1029
53,998,2241
54,998,1021
55,998,1005
56,998,1027
57,998,1016
58,1175,1188
59,1175,1183
60,751,2247
61,751,752
62,1225,1233
63,1225,2249
64,1153,1156
65,1153,1171
66,879,904
67,879,891
68,2254,305
69,2254,309
70,1225,1239
71,1225,2256
72,879,883
73,879,887
74,896,907
75,896,910
76,567,580
77,567,570
78,896,901
79,896,2261
80,896,2263
81,896,2264
82,1195,1197
83,1195,1206
84,1195,2267
85,1195,2268
86,711,2271
87,711,727
88,711,2273
89,711,720
90,733,747
91,733,2275
92,1319,2277
93,1319,2278
94,1319,2280
95,1319,2281
96,1319,2283
97,1319,1329
98,1319,1324
99,1319,1334
100,1275,2286
101,1275,1290
102,1275,2288
103,1275,2289
104,1275,1308
105,1275,2291
106,1275,2293
107,1275,1284
108,1275,1287
109,1275,1277
110,1275,1286
111,1275,1280
112,1275,2297
113,1275,1292
114,1275,1314
115,1275,1279
116,1275,1283
117,1275,1299
118,1275,2301
119,1275,1288
120,1244,1258
121,1244,2303
122,1088,1081
123,1088,1104
124,1088,1097
125,1088,1103
126,953,955
127,953,964
128,953,958
129,953,967
130,953,2310
131,953,2311
132,1244,1247
133,1244,1245
134,1212,1223
135,1212,2314
136,791,794
137,791,806
138,1136,1149
139,1136,1151
140,2318,841
141,2318,835
142,1212,2320
143,1212,1216
144,1067,1085
145,1067,2322
146,998,1007
147,998,2324
148,2318,834
149,2318,852
150,791,801
151,791,792
152,2318,838
153,2318,832
154,1153,1167
155,1153,1168
156,2318,836
157,2318,837
158,1136,2331
159,1136,1142
160,1067,1074
161,1067,1068
162,998,1019
163,998,1004
164,657,666
165,657,669
166,1153,1164
167,1153,1170
168,619,623
169,619,628
170,619,620
171,619,2338
172,791,810
173,791,793
174,1225,2341
175,1225,2342
176,1136,1148
177,1136,2344
178,1244,1252
179,1244,1253
180,1153,1161
181,1153,1173
182,657,688
183,657,659
184,998,1008
185,998,1013
186,971,973
187,971,975
188,971,978
189,971,974
190,1067,2352
191,1067,2353
192,1225,1235
193,1225,2355
194,657,672
195,657,671
196,998,2360
197,998,1014
198,657,664
199,657,673
200,657,661
201,657,667
202,567,574
203,567,571
204,1067,1101
205,1067,1086
206,567,573
207,567,569
208,1225,2367
209,1225,2368
210,567,578
211,567,576
212,1195,2371
213,1195,2372
214,711,707
215,711,695
216,711,701
217,711,2375
218,2377,511
