#,competition_id,tipman_id
1,1110,1832
2,338,1835
3,643,1838
4,131,1842
5,878,1845
6,914,1848
7,1175,1832
8,1934,1960
9,1948,1972
10,1975,2001
11,1979,1845
12,971,2062
13,896,2076
14,2046,2001
15,1889,1845
16,2377,1838
17,2105,2013
