#,fault_id,created,message,updated,url
3510,28466,2022-03-18 14:10:32.775000,"java.lang.IndexOutOfBoundsException: Index: 1, Size: 1",,"<tr>
 <td colspan=""4"">
  <div class=""py-2 clearfix""> 
   <a href=""https://www.matchmoney.com.gr/offers/enischymeno-paroli-me-goylvs-torino-kai-athletik-mpilmpao/"" class=""text-primary text-center"">
    <div class=""offer-text"">
     <h2 class=""title""> Ενι"
3511,28467,2022-03-18 14:10:32.793000,"java.lang.IndexOutOfBoundsException: Index: 1, Size: 1",,"<tr>
 <td colspan=""4"">
  <div class=""py-2 clearfix""> 
   <a href=""https://www.matchmoney.com.gr/offers/goylvs-lints-me-combo-bets-kai-eidika-stoichimata-paikton/"" class=""text-primary text-center"">
    <div class=""offer-text"">
     <h2 class=""title""> Γου"
3512,28468,2022-03-18 14:10:35.357000,"java.lang.IndexOutOfBoundsException: Index: 1, Size: 1",,"<tr>
 <td colspan=""4"">
  <div class=""py-2 clearfix""> 
   <a href=""https://www.matchmoney.com.gr/offers/enischymeno-paroli-me-goylvs-torino-kai-athletik-mpilmpao/"" class=""text-primary text-center"">
    <div class=""offer-text"">
     <h2 class=""title""> Ενι"
3513,29199,2022-03-24 16:33:36.618000,"org.jsoup.HttpStatusException: HTTP error fetching URL. Status=404, URL=https://www.matchmoney.com.gr/match/zakynthos-of-ierapetra-6-2-22-14-45-prognostika-stoichimatos/",,zakynthos-of-ierapetra-6-2-22-14-45-prognostika-stoichimatos
3514,28469,2022-03-18 14:10:35.374000,"java.lang.IndexOutOfBoundsException: Index: 1, Size: 1",,"<tr>
 <td colspan=""4"">
  <div class=""py-2 clearfix""> 
   <a href=""https://www.matchmoney.com.gr/offers/goylvs-lints-me-combo-bets-kai-eidika-stoichimata-paikton/"" class=""text-primary text-center"">
    <div class=""offer-text"">
     <h2 class=""title""> Γου"
3515,28470,2022-03-18 14:10:37.383000,"java.lang.IndexOutOfBoundsException: Index: 1, Size: 1",,"<tr>
 <td colspan=""4"">
  <div class=""py-2 clearfix""> 
   <a href=""https://www.matchmoney.com.gr/offers/enischymeno-paroli-me-goylvs-torino-kai-athletik-mpilmpao/"" class=""text-primary text-center"">
    <div class=""offer-text"">
     <h2 class=""title""> Ενι"
3516,28471,2022-03-18 14:10:37.408000,"java.lang.IndexOutOfBoundsException: Index: 1, Size: 1",,"<tr>
 <td colspan=""4"">
  <div class=""py-2 clearfix""> 
   <a href=""https://www.matchmoney.com.gr/offers/goylvs-lints-me-combo-bets-kai-eidika-stoichimata-paikton/"" class=""text-primary text-center"">
    <div class=""offer-text"">
     <h2 class=""title""> Γου"
3517,28472,2022-03-18 14:10:40.167000,"java.lang.IndexOutOfBoundsException: Index: 1, Size: 1",,"<tr>
 <td colspan=""4"">
  <div class=""py-2 clearfix""> 
   <a href=""https://www.matchmoney.com.gr/offers/enischymeno-paroli-me-goylvs-torino-kai-athletik-mpilmpao/"" class=""text-primary text-center"">
    <div class=""offer-text"">
     <h2 class=""title""> Ενι"
3518,28473,2022-03-18 14:10:40.185000,"java.lang.IndexOutOfBoundsException: Index: 1, Size: 1",,"<tr>
 <td colspan=""4"">
  <div class=""py-2 clearfix""> 
   <a href=""https://www.matchmoney.com.gr/offers/goylvs-lints-me-combo-bets-kai-eidika-stoichimata-paikton/"" class=""text-primary text-center"">
    <div class=""offer-text"">
     <h2 class=""title""> Γου"
3519,28516,2022-03-18 23:53:45.990000,"org.jsoup.HttpStatusException: HTTP error fetching URL. Status=404, URL=https://www.matchmoney.com.gr/match/mplakmpern-milgoyol-19-2-22-17-00-prognostika-stoichimatos/",,mplakmpern-milgoyol-19-2-22-17-00-prognostika-stoichimatos
3520,28517,2022-03-18 23:53:46.905000,"org.jsoup.HttpStatusException: HTTP error fetching URL. Status=404, URL=https://www.matchmoney.com.gr/match/zakynthos-of-ierapetra-6-2-22-14-45-prognostika-stoichimatos/",,zakynthos-of-ierapetra-6-2-22-14-45-prognostika-stoichimatos
3521,28523,2022-03-18 23:54:23.703000,"java.lang.IndexOutOfBoundsException: Index: 1, Size: 1",,"<tr>
 <td colspan=""4"">
  <div class=""py-2 clearfix""> 
   <a href=""https://www.matchmoney.com.gr/offers/enischymeno-paroli-me-goylvs-torino-kai-athletik-mpilmpao/"" class=""text-primary text-center"">
    <div class=""offer-text"">
     <h2 class=""title""> Ενι"
3522,28531,2022-03-18 23:54:23.849000,"java.lang.IndexOutOfBoundsException: Index: 1, Size: 1",,"<tr>
 <td colspan=""4"">
  <div class=""py-2 clearfix""> 
   <a href=""https://www.matchmoney.com.gr/offers/goylvs-lints-me-combo-bets-kai-eidika-stoichimata-paikton/"" class=""text-primary text-center"">
    <div class=""offer-text"">
     <h2 class=""title""> Γου"
