#,competition_id,code,fetch_status,label,name,name_gr,rank,nobet_count,overall_match_count,overall_rating,overall_score,overall_tip_count,tipsdnb,tips_lost,tips_won,unknown_count,season,type,country,overall_coefficient,new_coefficient
70,1153,colombia-liga-aguila,PARTLY_FETCHED,"",Чемпионат Колумбии,ΚΟΛΟΜΒΙΑ - Α ΚΟΛΟΜΒΙΑΣ,17,141,484,502,228.7650350470671,343,4,165,174,0,_2021_2022,LEAGUE,28,103.52765476877063,203.09184556593695
71,829,russian-cup,PARTLY_FETCHED,,Кубок России,ΚΥΠΕΛΛΟ ΡΩΣΙΑΣ,1000,0,0,0,0,0,0,0,0,0,_2021_2022,CUP,17,0,0
72,997,copa-sudamericana,PARTLY_FETCHED,"",Кубок судамерикана,ΔΙΕΘΝΗ - ΣΟΥΝΤΑΜΕΡΙΚΑΝΑ,26,91,238,419,196.98492797523696,147,0,72,75,0,_2021_2022,INTERNATIONAL,2929,40.634132193837154,121.42851115082385
73,1948,switzerland-super-league,PARTLY_FETCHED,"",Чемпионат Швейцариию. Лига A,ΕΛΒΕΤΙΑ - Α ΕΛΒΕΤΙΑΣ,23,72,298,434,307.4596672484384,226,7,90,129,0,_2021_2022,LEAGUE,10,85.81790810109197,131.83325347285012
74,1275,japan-a,PARTLY_FETCHED,"",Чемпионат Японии,ΙΑΠΩΝΙΑ - Α ΙΑΠΩΝΙΑΣ,31,123,435,341,132.38651908586309,300,9,180,111,12,_2021_2022,LEAGUE,35,97.82054068687958,173.78270906039245
75,227,england-national,PARTLY_FETCHED,,Чемпионат Англии. Национал,ΑΓΓΛΙΑ - ΝΑΣΙΟΝΑΛ ΛΙΓΚ,1000,0,0,0,0,0,0,0,0,0,_2021_2022,LEAGUE,2,0,0
76,933,turkey-b,PARTLY_FETCHED,,Чемпионат Турции. Первая лига,Β ΤΟΥΡΚΙΑΣ,1000,0,0,0,0,0,0,0,0,0,_2021_2022,LEAGUE,20,0,0
77,424,italy-serie-c,PARTLY_FETCHED,,Чемпионат Италии. Серия C,Γ ΙΤΑΛΙΑΣ,1000,0,0,0,0,0,0,0,0,0,_2021_2022,LEAGUE,5,0,0
78,1359,copa-america,PARTLY_FETCHED,,Кубок Америки,ΚΟΠΑ ΑΜΕΡΙΚΑ,1000,0,0,0,0,0,0,0,0,0,_2021_2022,INTERNATIONAL,2929,0,0
79,1135,usa-cup,PARTLY_FETCHED,"",Кубок США,ΗΠΑ - ΚΥΠΕΛΛΟ ΗΠΑ,1000,0,0,0,0,0,0,0,0,0,_2021_2022,CUP,26,0,0
